"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 10 18:49:55 GMT 2024","Sun Nov 10 18:49:56 GMT 2024","1382","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfoWithoutSchema","Изменить информацию о сотруднике. Тело запроса не по схеме",""
"passed","Sun Nov 10 18:50:00 GMT 2024","Sun Nov 10 18:50:01 GMT 2024","799","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompanyWithInvalidId","Получение списка сотрудников для несуществующей компании",""
"passed","Sun Nov 10 18:50:03 GMT 2024","Sun Nov 10 18:50:20 GMT 2024","17232","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [1] standard_user",""
"passed","Sun Nov 10 18:50:01 GMT 2024","Sun Nov 10 18:50:01 GMT 2024","494","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeByInvalidId","Получение сотрудника по несуществующему Id",""
"passed","Sun Nov 10 18:49:48 GMT 2024","Sun Nov 10 18:49:48 GMT 2024","693","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployeeToInvalidCompany","Добавление нового сотрудника в несуществующую компанию",""
"passed","Sun Nov 10 18:50:01 GMT 2024","Sun Nov 10 18:50:02 GMT 2024","1063","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfo","Изменить информацию о сотруднике. Тело запроса согласно схеме",""
"passed","Sun Nov 10 18:49:59 GMT 2024","Sun Nov 10 18:50:00 GMT 2024","833","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeById","Получение сотрудника по Id",""
"passed","Sun Nov 10 18:49:44 GMT 2024","Sun Nov 10 18:49:47 GMT 2024","2258","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addEmployeeTwice","Добавление одного и того же сотрудника два раза в одну компанию",""
"passed","Sun Nov 10 18:49:56 GMT 2024","Sun Nov 10 18:49:57 GMT 2024","910","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployee","Добавление нового сотрудника с минимальным набором полей",""
"passed","Sun Nov 10 18:50:26 GMT 2024","Sun Nov 10 18:50:27 GMT 2024","596","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","validAuth","Авторизация с валидным логином и паролем",""
"passed","Sun Nov 10 18:49:41 GMT 2024","Sun Nov 10 18:49:44 GMT 2024","3092","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Sun Nov 10 18:50:27 GMT 2024","Sun Nov 10 18:50:27 GMT 2024","316","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","invalidAuth","Авторизация заблокированным пользователем",""
"passed","Sun Nov 10 18:49:57 GMT 2024","Sun Nov 10 18:49:58 GMT 2024","1020","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateInvalidEmployeeInfo","Изменить информацию несуществующему сотруднику",""
"passed","Sun Nov 10 18:49:49 GMT 2024","Sun Nov 10 18:49:50 GMT 2024","675","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeeById","Получить сотрудника по id",""
"passed","Sun Nov 10 18:50:20 GMT 2024","Sun Nov 10 18:50:26 GMT 2024","5967","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [2] performance_glitch_user",""
"passed","Sun Nov 10 18:49:48 GMT 2024","Sun Nov 10 18:49:49 GMT 2024","908","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployee","Добавление нового сотрудника в компанию",""
"passed","Sun Nov 10 18:49:50 GMT 2024","Sun Nov 10 18:49:51 GMT 2024","1182","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfo","Изменение данных сотрудника. Тело запроса по схеме",""
"passed","Sun Nov 10 18:49:58 GMT 2024","Sun Nov 10 18:49:59 GMT 2024","959","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployeeWithAllData","Добавление нового сотрудника со всеми полями по схеме",""
"passed","Sun Nov 10 18:49:54 GMT 2024","Sun Nov 10 18:49:55 GMT 2024","1424","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Sun Nov 10 18:49:47 GMT 2024","Sun Nov 10 18:49:48 GMT 2024","1163","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfoWithoutSchema","Изменение данных сотрудника. Тело запроса не по схеме",""
