"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 08 19:57:37 GMT 2024","Fri Nov 08 19:57:37 GMT 2024","662","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","validAuth","Авторизация с валидным логином и паролем",""
"passed","Fri Nov 08 19:57:19 GMT 2024","Fri Nov 08 19:57:21 GMT 2024","1623","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployee","Добавление нового сотрудника с минимальным набором полей",""
"passed","Fri Nov 08 19:57:16 GMT 2024","Fri Nov 08 19:57:18 GMT 2024","1831","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri Nov 08 19:57:25 GMT 2024","Fri Nov 08 19:57:26 GMT 2024","1082","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfo","Изменить информацию о сотруднике. Тело запроса согласно схеме",""
"passed","Fri Nov 08 19:57:24 GMT 2024","Fri Nov 08 19:57:24 GMT 2024","479","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompanyWithInvalidId","Получение списка сотрудников для несуществующей компании",""
"passed","Fri Nov 08 19:57:26 GMT 2024","Fri Nov 08 19:57:31 GMT 2024","4304","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [1] standard_user",""
"broken","Thu Nov 07 09:15:46 GMT 2024","Thu Nov 07 09:15:46 GMT 2024","4","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа",""
"passed","Fri Nov 08 19:57:24 GMT 2024","Fri Nov 08 19:57:25 GMT 2024","470","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeByInvalidId","Получение сотрудника по несуществующему Id",""
"passed","Fri Nov 08 19:57:37 GMT 2024","Fri Nov 08 19:57:38 GMT 2024","319","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","invalidAuth","Авторизация заблокированным пользователем",""
"passed","Fri Nov 08 19:57:18 GMT 2024","Fri Nov 08 19:57:19 GMT 2024","1137","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfoWithoutSchema","Изменить информацию о сотруднике. Тело запроса не по схеме",""
"passed","Fri Nov 08 19:57:21 GMT 2024","Fri Nov 08 19:57:22 GMT 2024","818","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateInvalidEmployeeInfo","Изменить информацию несуществующему сотруднику",""
"passed","Fri Nov 08 19:57:31 GMT 2024","Fri Nov 08 19:57:37 GMT 2024","6040","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [2] performance_glitch_user",""
"passed","Fri Nov 08 19:57:12 GMT 2024","Fri Nov 08 19:57:13 GMT 2024","1497","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfo","Изменение данных сотрудника. Тело запроса по схеме",""
"passed","Fri Nov 08 19:57:05 GMT 2024","Fri Nov 08 19:57:08 GMT 2024","2623","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addEmployeeTwice","Добавление одного и того же сотрудника два раза в одну компанию",""
"passed","Fri Nov 08 19:57:23 GMT 2024","Fri Nov 08 19:57:24 GMT 2024","835","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeById","Получение сотрудника по Id",""
"passed","Fri Nov 08 19:57:22 GMT 2024","Fri Nov 08 19:57:23 GMT 2024","978","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployeeWithAllData","Добавление нового сотрудника со всеми полями по схеме",""
"passed","Fri Nov 08 19:57:08 GMT 2024","Fri Nov 08 19:57:09 GMT 2024","1497","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfoWithoutSchema","Изменение данных сотрудника. Тело запроса не по схеме",""
"passed","Fri Nov 08 19:57:10 GMT 2024","Fri Nov 08 19:57:11 GMT 2024","945","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployee","Добавление нового сотрудника в компанию",""
"passed","Fri Nov 08 19:57:09 GMT 2024","Fri Nov 08 19:57:10 GMT 2024","889","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployeeToInvalidCompany","Добавление нового сотрудника в несуществующую компанию",""
"passed","Fri Nov 08 19:57:11 GMT 2024","Fri Nov 08 19:57:12 GMT 2024","658","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeeById","Получить сотрудника по id",""
"passed","Fri Nov 08 19:57:02 GMT 2024","Fri Nov 08 19:57:05 GMT 2024","3000","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
