"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 08 19:46:58 GMT 2024","Fri Nov 08 19:46:59 GMT 2024","340","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompanyWithInvalidId","Получение списка сотрудников для несуществующей компании",""
"passed","Fri Nov 08 19:47:05 GMT 2024","Fri Nov 08 19:47:11 GMT 2024","6071","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [2] performance_glitch_user",""
"passed","Fri Nov 08 19:46:56 GMT 2024","Fri Nov 08 19:46:56 GMT 2024","614","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployee","Добавление нового сотрудника с минимальным набором полей",""
"passed","Fri Nov 08 19:46:50 GMT 2024","Fri Nov 08 19:46:51 GMT 2024","797","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfo","Изменение данных сотрудника. Тело запроса по схеме",""
"broken","Thu Nov 07 09:15:46 GMT 2024","Thu Nov 07 09:15:46 GMT 2024","4","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа",""
"passed","Fri Nov 08 19:46:57 GMT 2024","Fri Nov 08 19:46:58 GMT 2024","698","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployeeWithAllData","Добавление нового сотрудника со всеми полями по схеме",""
"passed","Fri Nov 08 19:46:48 GMT 2024","Fri Nov 08 19:46:49 GMT 2024","503","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployeeToInvalidCompany","Добавление нового сотрудника в несуществующую компанию",""
"passed","Fri Nov 08 19:46:58 GMT 2024","Fri Nov 08 19:46:58 GMT 2024","590","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeById","Получение сотрудника по Id",""
"passed","Fri Nov 08 19:46:49 GMT 2024","Fri Nov 08 19:46:50 GMT 2024","837","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployee","Добавление нового сотрудника в компанию",""
"passed","Fri Nov 08 19:47:11 GMT 2024","Fri Nov 08 19:47:11 GMT 2024","617","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","validAuth","Авторизация с валидным логином и паролем",""
"passed","Fri Nov 08 19:46:56 GMT 2024","Fri Nov 08 19:46:57 GMT 2024","523","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateInvalidEmployeeInfo","Изменить информацию несуществующему сотруднику",""
"passed","Fri Nov 08 19:46:45 GMT 2024","Fri Nov 08 19:46:47 GMT 2024","2426","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addEmployeeTwice","Добавление одного и того же сотрудника два раза в одну компанию",""
"passed","Fri Nov 08 19:46:42 GMT 2024","Fri Nov 08 19:46:45 GMT 2024","2875","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri Nov 08 19:46:50 GMT 2024","Fri Nov 08 19:46:50 GMT 2024","608","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeeById","Получить сотрудника по id",""
"passed","Fri Nov 08 19:46:54 GMT 2024","Fri Nov 08 19:46:55 GMT 2024","1294","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri Nov 08 19:46:59 GMT 2024","Fri Nov 08 19:46:59 GMT 2024","301","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeByInvalidId","Получение сотрудника по несуществующему Id",""
"passed","Fri Nov 08 19:46:47 GMT 2024","Fri Nov 08 19:46:48 GMT 2024","839","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfoWithoutSchema","Изменение данных сотрудника. Тело запроса не по схеме",""
"passed","Fri Nov 08 19:47:00 GMT 2024","Fri Nov 08 19:47:05 GMT 2024","4619","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [1] standard_user",""
"passed","Fri Nov 08 19:46:59 GMT 2024","Fri Nov 08 19:47:00 GMT 2024","833","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfo","Изменить информацию о сотруднике. Тело запроса согласно схеме",""
"passed","Fri Nov 08 19:47:11 GMT 2024","Fri Nov 08 19:47:12 GMT 2024","329","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","invalidAuth","Авторизация заблокированным пользователем",""
"passed","Fri Nov 08 19:46:55 GMT 2024","Fri Nov 08 19:46:56 GMT 2024","889","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfoWithoutSchema","Изменить информацию о сотруднике. Тело запроса не по схеме",""
